Date,Tot_Acct_Bank1_USD
31/01/19,1020.14
28/02/19,2036.63
29/03/19,3058.97
30/04/19,4116.92
31/05/19,4998.55
28/06/19,6186.03
31/07/19,7180.91
30/08/19,8190.77
30/09/19,9236.15
31/10/19,10380.38
29/11/19,11517.44
31/12/19,12641.06
31/01/20,13618.05
28/02/20,14051.88
31/03/20,13727.93
30/04/20,15678.54
29/05/20,17205.65
30/06/20,18498.10
31/07/20,20127.09
31/08/20,21754.01
30/09/20,22310.14
30/10/20,22959.90
30/11/20,25684.03
31/12/20,27373.56
29/01/21,28265.80
26/02/21,29552.75
31/03/21,30927.83
30/04/21,32778.35
31/05/21,34110.22
30/06/21,35356.25
30/07/21,36626.62
31/08/21,38123.95
30/09/21,37837.67
29/10/21,40063.88
30/11/21,40418.09
31/12/21,41932.75
31/01/22,41330.04
28/02/22,41430.58
31/03/22,42480.39
29/04/22,40651.89
31/05/22,41833.65
30/06/22,40233.86
29/07/22,43400.65
31/08/22,42752.95
30/09/22,40414.65
31/10/22,42829.43
30/11/22,45005.79
31/12/22,44509.85
31/01/23,48163.26
28/02/23,47622.34
31/03/23,49790.08
29/04/23,51170.56
31/05/23,51512.17
30/06/23,54218.11
29/07/23,56329.56
31/08/23,56057.32
30/09/23,54885.14
31/10/23,54474.68
30/11/23,59221.72
31/12/23,62751.02
31/01/24,63038.90
28/02/24,65566.04
31/03/24,68162.49
29/04/24,67054.96
31/05/24,70280.64
30/06/24,72256.06
29/07/24,74836.11
